village,DES_BARRIO_PARAJE
21050101006,Pueblo Nuevo
21050101007,Centro del Pueblo
21050101011,San Francisco (Entrada)
21050101012,Los Solares
21050102009,El Rodeo
21050103013,Batey 43
21050204001,La Cumbre
21050304003,Vietnam
21050401001,La Cuchilla
21050404008,Los Conucos
21060102003,Las Gallardas (Los Brujanes)
21060103002,Doña Ana
21060103009,Los Sánchez
21060103012,La Jagua
21070101002,Puerta Blanca
21070101006,Nigua Sur II
21070102006,Cambelén
21070103002,Najayo Abajo o Cruce de Najayo
22010101001,Quijá Quieta
22010101005,Manoguayabo
22010101007,Villa Flores
22010101008,Circunvalación
22010101010,Córbano Sur
22010101011,Villa Liberación o Campo de Aviación
22010101015,Centro del Pueblo
22010104004,Sajoncito
22010104012,Montes del Estado
22010301001,Sabaneta o Centro del Pueblo
22010304008,Guardarraya
22010602009,El Córbano
22010701001,Guanito o Centro del Pueblo
22010803009,Los Gajos Largos
22011102001,El Cacheo
22020101002,Centro del Pueblo o El Medio
22020303004,Yaque (Loma del Yaque)
22030101002,Centro del Pueblo
22030103003,Agua Fresca
22040101003,Los Billeteros
22040102001,Los Balleteros
22050101005,Pueblo Nuevo
22050101006,Villa Esperanza o Villa Fátima
22050101009,Villa Carmen o La Gallera
22050102008,La Estancia
22050104019,Los Peñascos
22050301001,Carrera de Yeguas
22050305003,Los Guayuyos
23010101002,Blanco
23010101003,Placer Bonito
23010101004,México
23010101005,Las Piedras
23010101006,Pedro Justo Carrión
23010101010,Juan Pablo Duarte
23010101012,Toconal
23010101014,Los Guandules
23010101016,Las Flores
23010101019,John F. Kennedy
23010101020,Villa Progreso
23010101023,Restauración
23010101025,Villa Providencia
23010101028,Lindo
23010101029,Pueblo Nuevo o La Arena
23010101030,Villa Magdalena
23010101031,Invi - Cea
23010101032,Villa Olímpica
23010101035,Loma de Cochero
23010101039,Miramar
23010101043,Punta Garza
23010101045,Hato de San Pedro
23010101049,Villa Faro
23010101052,24 de Abril
23010101054,Puerta de Santa Fe
23010101059,Urbanización Oriental
23010101061,Colina I
23010101062,Colina II
23010101064,Villa Centro
23010101075,El Brisal
23010102004,El Peñón
23010102023,Ingenio Angelina
23020101008,Rumbamba
23020103012,El Jengibre
23020104018,Batey Canutillo
23020201001,El Puerto
23030101003,Nuevo
23030102003,Mahoma
23040101007,La Guamita
23040101008,La Habana
23040101009,Hato Mayor
23040101019,Puerto Príncipe
23040103008,Batey Don Juan
23050101002,Invi II
23050101011,Villa Bargabina o El Tanque
23050101015,Villa Verde I
23060101001,Guayacanes
23060102004,Villa del Mar
23060102008,Cruce de Cayacoa
24010101004,La Gallera
24010101024,Los Multi
24010101030,La Altagracia Al Norte
24010101037,La Colonia o Lindo
24010102003,Los Pomos y el Naranjo
24010501002,Guardarraya
24020103005,Sabana del Mariscao
24030101004,Capotillo
24030103008,Piña Al Medio
24040101005,Paz y Amor
24040303001,Pacho Pegao
24040401001,El Caserío o Hernando Alonzo
25010101001,Cienfuegos
25010101002,Monte Rico
25010101003,Los Salados
25010101004,Ensanche Libertad
25010101006,Espaillat
25010101007,Ensanche Bermúdez
25010101008,La Otra Banda
25010101010,La Joya
25010101011,Bella  Vista
25010101013,La Yagüita de Pastor
25010101014,Los Jazmines
25010101015,Nibaje
25010101017,Pueblo Nuevo
25010101018,Ensanche Bolivar
25010101019,Los Ciruelitos
25010101021,Urbanización  Los Reyes
25010101022,Buenos Aires
25010101024,Mejoramiento Social
25010101026,La Trinitaria
25010101028,El  Ensueño
25010101029,Pekín
25010101031,Villa Olga
25010101033,Los Cerros de Gurabo
25010101034,Reparto Consuelo
25010101035,Gurabo
25010101036,Hoya del Caimito
25010101038,Los Álamos
25010101039,Arroyo Hondo Arriba
25010101040,Hato Mayor
25010101041,Jardines del Este
25010101043,El Dorado
25010101044,Los Rieles
25010101045,La Herradura
25010101046,La Barranquita
25010101048,Buena Vista
25010101051,Altos de Rafey
25010101054,Urbanización Henríquez
25010101057,Villa Olímpica
25010102006,Callejón de Los Sánchez
25010106001,La Cruz
25010107007,Los Cirises
25010202007,Cayas Quemadas
25010501003,Canela Arriba o Centro del Pueblo
25010502001,Hatillo San Lorenzo
25010603002,Jacagua Al Medio
25010605006,Cuesta de Quinigua
25010701002,El Tamarindo
25010701008,Monseñor Eliseo Pérez
25020101003,Los Candelones
25020101011,27 de Febrero
25020101014,"Duarte ""A"""
25020102002,El Catey
25030104006,Dicayagua Abajo
25030301004,Los Caballos
25040102001,La Cruz de María Francisca
25040201001,Las Palomas o Centro del Pueblo
25050101002,Centro del Pueblo
25050105024,Don Juan
25050305001,Las Auyamas
25060101011,Carlos Díaz
25060101013,Los Polanco
25060106004,Pontezuela Arriba
25060201002,La Piedra
25070101007,Vidal Guillén
25070102002,Palmarejo
25070201001,Palmar Arriba
25070202005,El Pozo
25080105004,Alto de Matanzas
25080203001,Palo Amarillo
25080301001,Canabacoa Abajo
25090103004,La Joya (Rincón)
26010101015,Mejoramiento Social (Bameso)
26010101016,Tomines Arriba
26010110027,Los Pravieles
26020105014,La Cidra
26030101007,El Centro
27010101009,La Guardia o Carlos Daniel
27010101019,María Auxiliadora
27010101032,Tierra Seca
27010101036,Don Bosco
27010202002,Laguneta
27010301001,Pueblo Nuevo
27020101001,Sur
27020101007,Nuevo
27020101012,Tito Cabrera
27020101014,Buenos Aires
27020103004,Villa Henequén (Pontón)
27030101009,El Yaque
27030201001,Jaibón
27030303003,La Caya
28010101005,Simón Bolivar
28010101013,Centro del Pueblo
28010101017,San José
28010101019,La Salvia
28010101026,Villa Liberación
28010101031,El Ocho
28010202010,La Cotorra
28010301001,Juma Adentro
28010303007,Palmarito
28010502005,Jayaco Arriba
28020101001,Puerto Rico
28020101005,Buenos Aires
28030201002,Sector B
28030203003,Las Jardetas
29010101001,Vietnam
29010101003,La Gallera o Entre Reyes
29010101005,Centro del Pueblo
29010102007,El Proyecto o Hato Arriba
29010104010,La Luisa Blanca
29010205001,Batey La Jagua
29010301003,Las Flores
29010304001,Sabana de Yabacao (Pueblo Nuevo)
29020101001,El Hospital
29020101003,Centro del Pueblo
29020101009,Algarrobo
29020101013,Las Flores
29020102006,Los Anones (Las Cruces)
29020105005,Sabana de Los Javier
29030101007,El Quilombo
29030101009,El 15
29030101018,Los Guandules
29030102010,La Nuez
29030104009,Rincón Claro
29030301001,Centro del Pueblo
29040101005,El Mulo
29040101014,Cercadillo
29040102005,La Cuchilla
29040102019,Cansa Mancebo
29040105001,Dajao
29040201002,La Jabilla
29040206005,El 35
29040303009,El Naranjo
29050101003,Dionicio
29050102002,Mateo Pico
29050103010,La Cuaba Arriba
30010101001,Centro del Pueblo
30010101003,Punta Garza
30010101005,Gualey
30010101012,La China o Villa Navarro
30010101013,Las Malvinas
30010101014,La Franja
30010101016,El Rondón
30010102018,Las Pajas
30010202005,Las Claras
30010303017,Caimoní
30010401001,Los Hatillos
30020101001,El Liceo
30020101003,El Hospital
30020101005,Pueblo Abajo
30020102001,La Ceja
30030101003,El Sano
31010101001,Las Flores
31010101004,Centro del Pueblo
31010101009,San Luis
31010101014,Juan Pablo Duarte
31010102005,Méndez
31010403004,Los Tramojos
31020101002,Centro del Pueblo
31030101001,Rancho Arriba
31030102002,Arroyo Caña
32010101001,Villa Duarte
32010101002,Ensanche Ozama
32010101003,Los Mina Norte
32010101004,Los Mina Sur
32010101005,Alma Rosa
32010101008,Los Tres Brazos-Jardines del Ozama
32010101009,Faro A Colón
32010101010,Los Mameyes
32010101011,Isabelita
32010101012,Los Tres Ojos
32010101013,Villa Faro
32010101014,Mendoza
32010101015,Cancino
32010101016,Los Trinitarios
32010101019,Cancino Adentro
32010101020,El Tamarindo
32010101021,San José de Mendoza
32010101024,Juan López
32010101025,Hainamosa
32010101026,El Almirante
32010101027,Los Frailes
32010101028,Las Canas
32010103001,Los Paredones
32010103003,La Grúa
32010103005,La Ureña
32010201001,San Luis
32010202001,El Bonito
32010202003,San Isidro Afuera
32020101001,Santo Domingo Country Club
32020101002,La Altagracia
32020101003,Engombe
32020101004,La Rosa
32020101005,Las Caobas
32020101006,Alameda
32020101007,Enriquillo
32020101008,Buenos Aires de Herrera
32020101009,Herrera
32020101010,Zona Industrial Herrera
32020101011,Juan Pablo Duarte
32020101013,San Miguel
32020101014,Bayona
32020101015,Manoguayabo
32020102002,Caballona
32020102005,Hato Nuevo
32020102006,Bienvenido
32030101001,Villa Mella
32030101002,Santa Cruz
32030101003,Sabana Perdida
32030101004,El Edén
32030101005,Guaricano
32030101006,San Felipe
32030102007,Cercadillo
32030104003,Los Cazabes
32030201001,La Victoria
32030202001,Mal Nombre
32030203001,La Virgen
32030207005,La Campaña
32030208001,La Ceiba
32040101001,Boca Chica
32040101002,Andrés
32040201001,La Caleta
32040202001,El Valiente
32040203002,La Cien Mil-La Piedra
32050101001,Guerra Centro
32050102001,El Toro
32050105015,Capacito
32060101001,Savica
32060101002,Canta La Rana o Barriolandia
32060101003,Pueblo Nuevo
32060101004,Las Mercedes
32060101006,Altos de Chavón
32060101007,Los Americanos (Los Ángeles)
32060101009,Nazareno o Manzanero
32060101011,La Unión
32060101013,La Piña
32060101017,Residencial Los Hidalgos
32060102001,Santa Rosa
32060204002,Cerinca
32060301005,Villa Morada
32060301007,La Redención
32060301008,Las Colinas o Los Cocos
32060301009,Pantoja I
32070101001,Pedro Brand
32070201001,La Guáyiga
32070204002,Proyecto Los Guardias
