ind_hhh,Industry
C,C. INDUSTRIA MANUFACTURERA
F,F. CONSTRUCCIÓN
G,G. VENTA POR MAYOR Y POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS
01220,01220. Cultivo de frutas tropicales y subtropicales
43220,"43220. Instalaciones de fontanería, calefacción y aire acondicionado"
84220,84220. Actividades de defensa
95220,95220. Reparación de aparatos de uso doméstico
16220,16220. Fabricación de partes y piezas de carpintería para edificios y construcciones de madera
24320,24320. Fundición de metales no ferrosos
47420,47420. Venta por menor de equipos de sonido y audio
23920,23920. Fabricación de materiales de construcción de arcilla
74920,74920. Actividades de traducción e interpretación
25920,"25920. Tratamiento a metales: revestimiento, torneado, soldadura, enchapado, grabado, pulido, herrería y  actividades af"
08920,08920. Extracción de turba
11030,"11030. Producción de malta, elaboración de cerveza y otras  bebidas malteadas"
91030,"91030. Actividades de jardines botánicos, zoológicos y de parques nacionales"
96030,96030. Servicios funerarios y actividades conexas
20130,20130. Fabricación de plásticos y caucho sintético en formas primarias
01130,01130. Cultivo de tubérculos
32130,32130. Fabricación de artículos de orfebrería
13130,"13130. Acabado de productos textiles: blanqueo, teñido, sanforizado, plisado, estampado serigráfico de productos textile"
33130,33130. Reparación de equipo electrónico y óptico
84130,84130. Actividades de regulación y facilitación de la actividad económica
25130,"25130. Fabricación de generadores de vapor, excepto calderas de agua caliente para calefacción central"
58130,"58130. Edición de periódicos, revistas y otras publicaciones periódicas"
01230,01230. Cultivos de frutas cítricas
52230,"52230. Servicio de aeropuertos, terminales aéreas y otros servicios complementarios del transporte aéreo"
95230,95230. Reparación y mantenimiento de calzado y artículos de cuero
16230,16230. Fabricación de recipientes de madera
77330,77330. Alquiler de maquinaria y equipo de construcción e ingeniería civil sin operador
01430,01430. Cría de ganado camélido o auquénido
46530,"46530. Venta por mayor de maquinaria, equipo y materiales agropecuarios"
47630,47630. Venta al por menor de artículos deportivos en tiendas especializadas
47830,"47830. Venta de libros, revistas y periódicos en puestos de venta y mercados"
23930,23930. Fabricación de otros productos de cerámica y porcelana
74930,74930. Consultoría en economía
96040,"96040. Actividades de baños turcos, saunas y baños de vapor"
01140,01140. Cultivo de caña de azúcar
33140,33140. Reparación de equipo eléctrico
28140,"28140. Fabricación de cojinetes, engranajes, trenes de engranajes y piezas de transmisión"
59140,59140. Actividades de exhibición de películas cinematográficas y cintas de vídeo
01240,01240. Cultivo de frutas de carozo (hueso)
95240,95240. Reparación de muebles y accesorios domésticos
28240,"28240. Fabricación de maquinaria para la explotación de minas, canteras y obras de construcción"
47640,47640. Venta por menor de juegos y juguetes en tiendas especializadas
10740,"10740. Elaboración de pastas, macarrones y fideos"
47840,"47840. Venta de papel, productos de papel y artículos de librería en puestos de venta y mercados"
96050,96050. Servicios de centros de estética y spa
33150,"33150. Reparación de equipo de transporte, excepto vehículos automotores"
28150,"28150. Fabricación de hornos, hogares y quemadores"
28250,"28250. Fabricación de maquinaria para la elaboración de alimentos, bebidas y tabaco"
01450,01450. Cría de ganado porcino
47850,47850. Venta de juegos y juguetes en puestos de venta y mercados
96060,"96060. Servicios de adivinos, yatiris, espiritistas, astrólogos y afines"
01160,01160. Cultivo de plantas forrajeras
33160,33160. Reparación de máquinas de oficina
47760,"47760. Venta por menor de gas en garrafas, carbón y leña para uso doméstico"
47860,"47860. Venta de aparatos de uso doméstico, productos eléctricos y electrónicos en puestos de venta y mercados"
23960,"23960. Corte, tallado y acabado de la piedra"
01170,01170. Cultivo de flores
01470,01470. Apicultura
47870,47870. Venta de grabaciones de música y vídeo en puestos de venta y mercados
62090,62090. Otras actividades de la tecnología de la información y de servicios informáticos
22190,"22190. Fabricación de planchas, tubos, correas, cuerdas, conectores y otros productos de caucho"
66190,66190. Otras actividades auxiliares de las actividades de los servicios financieros
47190,47190. Venta al por menor en locales no especializados sin predominio de alimentos
28190,28190. Fabricación de otros tipos de maquinaria de uso general
58190,58190. Otras actividades de edición
43290,43290. Otras instalaciones para obras de construcción
16290,"16290. Fabricación de otros productos de madera; de artículos de corcho, paja y materiales trenzables n.c.p."
47890,47890. Venta de otros artículos en puestos de venta y mercados
30990,30990. Fabricación de otros tipos de equipo de transporte
64990,"64990. Otras actividades de servicios financieros, excepto las de seguros y fondos de pensiones n.c.p."
31001,"31001. Fabricación de muebles y partes de muebles, principalmente de madera"
10101,10101. Matanza de ganado bovino y procesamiento de su carne
80101,80101. Actividades de seguridad privada
71101,71101. Actividades de consultoría en arquitectura
42101,42101. Construcción de obras de ingeniería civil
52101,52101. Explotación de instalaciones de almacenamiento y depósito para todo tipo de productos
14101,"14101. Fabricación de prendas de vestir para hombres, mujeres y niños"
74101,74101. Actividades de diseño de prendas de vestir y telas
35101,35101. Generación de energía eléctrica
45101,45101. Venta de vehículos automotores nuevos
55101,55101. Servicios de hoteles
08101,08101. Extracción de piedras
68101,"68101. Actividades de alquiler, compra, venta de bienes inmuebles propios realizados sin intermediarios"
88101,88101. Actividades de asistencia social sin alojamiento para personas de la tercera edad
71201,"71201. Ensayos de calificación, fiabilidad, composición, pureza de los productos (verificadora)"
02201,02201. Extracción de madera en rolas (troncas)
22201,"22201. Fabricación de planchas, hojas, tubos y mangueras de plástico; accesorios para estos productos"
32201,32201. Fabricación de instrumentos de música de viento
24201,24201. Fabricación de productos primarios de metales no ferrosos
74201,74201. Actividades de fotografía
15201,15201. Fabricación de calzado para todo uso y de cualquier material
45201,45201. Mantenimiento y reparación integral de vehículos
46201,46201. Venta por mayor de materias primas agrícolas y de la silvicultura
86201,86201. Servicio de atención médica en clínicas
87201,87201. Instituciones de atención a personas con capacidades diferentes con alojamiento
68201,68201. Actividades inmobiliarias de bienes inmuebles con intermediarios
19201,19201. Fabricación de combustibles líquidos o gaseosos
10301,"10301. Elaboración de conservas de frutas, hortalizas y tubérculos inmersos en vinagre, aceite u otros conservantes"
02301,02301. Aprovechamiento de productos forestales no maderables
14301,14301. Fabricación de prendas de vestir tejidas a máquina o a mano
85301,85301. Educación superior no universitaria
46301,"46301. Venta por mayor de frutas, tubérculos y hortalizas"
56301,56301. Expendio de bebidas alcohólicas en locales
47301,47301. Venta al por menor de combustible para vehículos automotores en comercios especializados
10401,10401. Elaboración de aceites vegetales
02401,02401. Servicios de apoyo a la silvicultura a cambio de una retribución o por contrata
45401,"45401. Venta de motocicletas y de sus partes, piezas y accesorios"
10501,10501. Elaboración de leches y productos lácteos
61901,61901. Servicios telefónicos al público
87901,"87901. Servicios de orfanatos, hogares y albergues infantiles"
88901,88901. Servicios de guardería para niños
90011,90011. Producción de obras de teatro
11011,11011. Elaboración de bebidas alcohólicas destiladas
20111,"20111. Fabricación de gases industriales, aire líquido o comprimido, gases refrigerantes, gases inertes y otros compuest"
01111,01111. Cultivo de cereales
93111,93111. Servicios de instalaciones para la práctica deportiva
84111,"84111. Actividades de los Órganos Ejecutivo, Legislativo y Electoral"
15111,"15111. Curtido, teñido y adobo de cueros"
56111,"56111. Expendio de comidas en restaurantes, churrasquerías, chifas, fricaserías y otros locales"
47111,"47111. Venta por menor en supermercados con surtido compuesto principalmente de alimentos, bebidas y tabaco"
52211,52211. Explotación de instalaciones terminales de buses
47211,"47211. Venta por menor de frutas, hortalizas y tubérculos"
49211,"49211. Transporte en micros, buses y colectivos"
43311,43311. Revestimiento de yeso de interiores y exteriores
01411,01411. Cría y reproducción de ganado bovino y búfalos
85411,85411. Escuelas deportivas
47411,"47411. Venta por menor de computadoras, equipo periférico y programas informáticos"
47511,47511. Venta por menor de hilados de lana y algodón
10611,"10611. Procesamiento de cereales: producción de harina, sémola y gránulos de trigo, avena, maíz y otros cereales"
01611,01611. Actividades de servicios agrícolas
46611,"46611. Venta por mayor de gas licuado, diesel, gasolina y queroseno"
47611,47611. Venta por menor de libros y revistas
10711,10711. Elaboración de pan
47711,47711. Venta por menor de prendas de vestir
47911,47911. Venta por menor por correo y por Internet
11021,11021. Elaboración de vinos
01121,01121. Cultivo de hortalizas de raíz
33121,33121. Reparación y mantenimiento de maquinaria industrial
84121,84121. Actividades de regulación y gestión de la salud (SEDES)
66121,66121. Actividades de corredores de valores
47221,47221. Venta por menor de bebidas alcohólicas en tienda
49221,"49221. Transporte regular de larga distancia de pasajeros (interprovincial, interdepartamental e internacional)"
85421,85421. Enseñanza de música
46421,46421. Venta por mayor de libros y revistas
46521,"46521. Venta por mayor de equipos electrónicos, partes y piezas"
47521,"47521. Venta por menor de artículos de ferretería, fontanería y calefacción"
46621,"46621. Venta por mayor de metales, minerales y productos semiacabados ferrosos y no ferrosos"
47621,"47621. Venta por menor de discos compactos de audio, video y casetes grabados"
10721,10721. Elaboración de azúcar de caña
47721,47721. Venta por menor de calzado
47821,47821. Venta de productos textiles en puestos de venta y mercados
