district,District
13047,Pacula (Hidalgo)
13053,San Bartolo Tutotepec (Hidalgo)
13061,Tepeapulco (Hidalgo)
13071,Tlahuiltepa (Hidalgo)
13078,Xochiatipan (Hidalgo)
13084,Zimapán (Hidalgo)
14039,Guadalajara (Jalisco)
14067,Puerto Vallarta (Jalisco)
14098,San Pedro Tlaquepaque (Jalisco)
14101,Tonalá (Jalisco)
14120,Zapopan (Jalisco)
14006,Ameca (Jalisco)
14008,Arandas (Jalisco)
14015,Autlán de Navarro (Jalisco)
14023,Zapotlán el Grande (Jalisco)
14037,El Grullo (Jalisco)
14046,Jalostotitlán (Jalisco)
14050,Jocotepec (Jalisco)
14063,Ocotlán (Jalisco)
14070,El Salto (Jalisco)
14073,San Juan de los Lagos (Jalisco)
14093,Tepatitlán de Morelos (Jalisco)
14097,Tlajomulco de Zúñiga (Jalisco)
14108,Tuxpan (Jalisco)
14124,Zapotlanejo (Jalisco)
14030,Chapala (Jalisco)
14044,Ixtlahuacán de los Membrillos (Jalisco)
14047,Jamay (Jalisco)
14060,Mexticacán (Jalisco)
14066,Poncitlán (Jalisco)
14100,Tomatlán (Jalisco)
14105,Tototlán (Jalisco)
14125,San Ignacio Cerro Gordo (Jalisco)
14003,Ahualulco de Mercado (Jalisco)
14009,El Arenal (Jalisco)
14011,Atengo (Jalisco)
14013,Atotonilco el Alto (Jalisco)
14069,Quitupan (Jalisco)
14016,Ayotlán (Jalisco)
14022,Cihuatlán (Jalisco)
14027,Cuautitlán de García Barragán (Jalisco)
14035,Encarnación de Díaz (Jalisco)
14045,Ixtlahuacán del Río (Jalisco)
14053,Lagos de Moreno (Jalisco)
14059,Mazamitla (Jalisco)
14064,Ojuelos de Jalisco (Jalisco)
14065,Pihuamo (Jalisco)
14083,Tala (Jalisco)
14106,Tuxcacuesco (Jalisco)
14109,Unión de San Antonio (Jalisco)
14116,Villa Hidalgo (Jalisco)
14119,Zacoalco de Torres (Jalisco)
14121,Zapotiltic (Jalisco)
14038,Guachinango (Jalisco)
15002,Acolman (México)
15013,Atizapán de Zaragoza (México)
15020,Coacalco de Berriozábal (México)
15024,Cuautitlán (México)
15025,Chalco (México)
15029,Chicoloapan (México)
15031,Chimalhuacán (México)
15033,Ecatepec de Morelos (México)
15037,Huixquilucan (México)
15039,Ixtapaluca (México)
15057,Naucalpan de Juárez (México)
15058,Nezahualcóyotl (México)
15060,Nicolás Romero (México)
15081,Tecámac (México)
15104,Tlalnepantla de Baz (México)
15106,Toluca (México)
15109,Tultitlán (México)
15121,Cuautitlán Izcalli (México)
15122,Valle de Chalco Solidaridad (México)
15005,Almoloya de Juárez (México)
15023,Coyotepec (México)
15035,Huehuetoca (México)
15051,Lerma (México)
15053,Melchor Ocampo (México)
15054,Metepec (México)
15070,La Paz (México)
15091,Teoloyucan (México)
15099,Texcoco (México)
15028,Chiautla (México)
15100,Tezoyuca (México)
15108,Tultepec (México)
15115,Xonacatlán (México)
15118,Zinacantepec (México)
15120,Zumpango (México)
15010,Apaxco (México)
15011,Atenco (México)
15018,Calimaya (México)
15044,Jaltenco (México)
15047,Jiquipilco (México)
15059,Nextlalpan (México)
15067,Otzolotepec (México)
15084,Temascalapa (México)
