district,lat_cen,long_cen
452,13.156774691358024,-59.626858024479425
455,13.152048611028327,-59.62322916660044
460,13.149055555736776,-59.628787878691554
461,13.140107142887418,-59.6281230157519
463,13.154935185143977,-59.62150925915918
464,13.159072916706403,-59.620930555578724
465,13.156343434314534,-59.62044191924008
468,13.147224747436217,-59.61783585864035
470,13.160711111068725,-59.626472222063285
473,13.16164444446564,-59.615575000021195
476,13.151990740721423,-59.6363425925926
477,13.137432098811791,-59.637768518542075
480,13.148731481381406,-59.60791975315706
481,13.146512345561273,-59.60334876546153
482,13.154273809591928,-59.60328968256239
483,13.14979761901356,-59.6044404761375
484,13.158100000010597,-59.61162777778837
486,13.15950308634911,-59.602330246913574
488,13.157425000084771,-59.612130555576755
489,13.179351851616376,-59.61643209881254
491,13.188330246901806,-59.60028086419459
493,13.193371527459886,-59.596104166905086
495,13.195233333296247,-59.57748611132304
496,13.191732323121544,-59.58718686879283
497,13.203517360952164,-59.583315972156
499,13.160840909023477,-59.59902777766641
501,13.14914351841366,-59.598717592634536
502,13.15116666659897,-59.59896913587311
503,13.129694444379874,-59.59231944428551
505,13.157824074177096,-59.58307098768377
506,13.187788888838558,-59.57416666661369
508,13.180847222010293,-59.56665740746039
510,13.182456790046926,-59.5493209876787
511,13.196908730249557,-59.54865079361294
512,13.193630555523768,-59.54151944430669
513,13.182852777745987,-59.54015833335452
514,13.209919444508023,-59.5220833333201
515,13.211638888871226,-59.52672916672847
516,13.20848290591158,-59.540722222205915
517,13.23165909085611,-59.549138888946985
518,13.209953703703704,-59.54412037037037
519,13.236967171659375,-59.56125252550298
521,13.193822916646798,-59.55586111091077
522,13.250444444497427,-59.569227777693
523,13.241477777745988,-59.55637500002649
524,13.20398055576616,-59.55363611110052
526,13.213380952382845,-59.59158730166299
527,13.243563131419096,-59.56515656556746
528,13.248833333121405,-59.569277777671815
529,13.203981481481481,-59.571222222328274
530,13.266743055449592,-59.57864236119721
531,13.251604166701435,-59.579802083339956
532,13.232277777754895,-59.59202777794514
534,13.26567222213745,-59.637033333341286
536,13.268854166666667,-59.62363194445769
537,13.269144444439146,-59.643319444391466
538,13.247466049370942,-59.639015432169394
540,13.247511904731628,-59.640269841239565
541,13.2456234567548,-59.63616358038819
543,13.255376984202673,-59.63924603167034
544,13.253854166633554,-59.64109027783077
548,13.229768518400782,-59.6261604938978
550,13.258803030216331,-59.62608585864607
551,13.242511111087268,-59.61749722216196
553,13.251117283878504,-59.60210185176428
555,13.27042708337307,-59.612947916620314
556,13.281974999911256,-59.583461111174685
557,13.286797619075587,-59.58652777765597
558,13.290146825275725,-59.57950396840535
561,13.277916666666668,-59.64652777777778
563,13.281027777838329,-59.64698809532892
564,13.283870370408268,-59.643867283927065
566,13.290549999809267,-59.639963333193464
567,13.318408730181437,-59.639817460302325
569,13.322666666713763,-59.63449074072533
570,13.320811728430384,-59.61277777775432
571,13.324958333386315,-59.60517222215235
573,13.292930555608539,-59.6336111108462
575,13.290009259312518,-59.61613425931446
576,13.302641975320418,-59.60805864186935
577,13.298144444445768,-59.60662222217851
578,13.299833333392938,-59.588243055343625
581,13.303097222116257,-59.58222916657312
582,13.31876111111707,-59.60050555551136
